DATE,BRWA53M647NCEN
2004-03-01,457261
2004-04-01,459094
2004-05-01,463619
2004-06-01,462133
2004-07-01,468886
2004-08-01,467748
2004-09-01,471969
2004-10-01,480716
2004-11-01,484098
2004-12-01,497501
2005-01-01,504582
2005-02-01,507839
2005-03-01,522503
2005-04-01,522677
2005-05-01,520401
2005-06-01,517000
2005-07-01,513126
2005-08-01,514211
2005-09-01,517009
2005-10-01,522093
2005-11-01,524605
2005-12-01,534845
2006-01-01,540012
2006-02-01,535733
2006-03-01,547347
2006-04-01,542631
2006-05-01,539008
2006-06-01,539086
2006-07-01,534615
2006-08-01,536045
2006-09-01,533198
2006-10-01,532854
2006-11-01,532575
2006-12-01,544730
2007-01-01,541851
2007-02-01,536957
2007-03-01,547423
2007-04-01,539125
2007-05-01,536775
2007-06-01,535595
2007-07-01,527410
2007-08-01,530136
2007-09-01,530563
2007-10-01,533265
2007-11-01,553659
2007-12-01,557130
2008-01-01,571822
2008-02-01,576136
2008-03-01,580257
2008-04-01,582564
2008-05-01,584862
2008-06-01,565781
2008-07-01,589174
2008-08-01,573891
2008-09-01,597156
2008-10-01,634240
2008-11-01,662906
2008-12-01,683239
2009-01-01,714020
2009-02-01,733920
2009-03-01,752275
2009-04-01,783633
2009-05-01,801705
2009-06-01,820430
2009-07-01,835216
2009-08-01,848714
2009-09-01,864345
2009-10-01,881080
2009-11-01,897113
2009-12-01,918539
2010-01-01,932197
2010-02-01,928849
2010-03-01,942453
2010-04-01,956159
2010-05-01,970402
2010-06-01,979660
2010-07-01,988703
2010-08-01,998372
2010-09-01,1006518
2010-10-01,1015622
2010-11-01,1019791
2010-12-01,1034304
2011-01-01,1043025
2011-02-01,1047832
2011-03-01,1056106
2011-04-01,1064797
2011-05-01,1060919
2011-06-01,1066531
2011-07-01,1075482
2011-08-01,1083716
2011-09-01,1088193
2011-10-01,1095139
2011-11-01,1097281
2011-12-01,1102830
2012-01-01,1099545
2012-02-01,1102036
2012-03-01,1111501
2012-04-01,1111832
2012-05-01,1115696
2012-06-01,1115286
2012-07-01,1111084
2012-08-01,1118464
2012-09-01,1116382
2012-10-01,1112770
2012-11-01,1109014
2012-12-01,1114742
2013-01-01,1117999
2013-02-01,1117832
2013-03-01,1116250
2013-04-01,1111505
2013-05-01,1112751
2013-06-01,1107066
2013-07-01,1112119
2013-08-01,1116059
2013-09-01,1113184
2013-10-01,1113644
2013-11-01,1091092
2013-12-01,1082598
2014-01-01,1088502
2014-02-01,1088175
2014-03-01,1112524
2014-04-01,1105343
2014-05-01,1103493
2014-06-01,1099975
2014-07-01,1094228
2014-08-01,1089665
2014-09-01,1077374
2014-10-01,1083140
2014-11-01,1082731
2014-12-01,1079737
2015-01-01,1087854
2015-02-01,1082108
2015-03-01,1071764
2015-04-01,1063849
2015-05-01,1059863
2015-06-01,1046925
2015-07-01,1046483
2015-08-01,1047512
2015-09-01,1041550
2015-10-01,1043008
2015-11-01,1035860
2015-12-01,1038748
2016-01-01,1036827
2016-02-01,1036086
2016-03-01,1029246
2016-04-01,1013797
2016-05-01,1003496
2016-06-01,995501
2016-07-01,990913
2016-08-01,960747
2016-09-01,952711
2016-10-01,951845
2016-11-01,946080
2016-12-01,948098
2017-01-01,943769
2017-02-01,942136
2017-03-01,936645
2017-04-01,932333
2017-05-01,920754
2017-06-01,913807
2017-07-01,907668
2017-08-01,907897
2017-09-01,902796
2017-10-01,894434
2017-11-01,892698
2017-12-01,894194
2018-01-01,893650
2018-02-01,890483
2018-03-01,888003
2018-04-01,877473
2018-05-01,870732
2018-06-01,867054
2018-07-01,854522
2018-08-01,852952
2018-09-01,850732
2018-10-01,845789
2018-11-01,843905
2018-12-01,842115
2019-01-01,839574
2019-02-01,830821
2019-03-01,826184
2019-04-01,818771
2019-05-01,815496
2019-06-01,813948
2019-07-01,809551
2019-08-01,810037
2019-09-01,804663
2019-10-01,802305
2019-11-01,797097
2019-12-01,793616
2020-01-01,796876
2020-02-01,797442
2020-03-01,797246
2020-04-01,960064
2020-05-01,929111
2020-06-01,929624
2020-07-01,940841
2020-08-01,956647
2020-09-01,951090
2020-10-01,936301
2020-11-01,929584
2020-12-01,960448
2021-01-01,976504
2021-02-01,1016987
2021-03-01,961819
2021-04-01,953349
2021-05-01,914078
2021-06-01,894680
